# Datetime,head_top(m),head_bottom(m)
4/1/2017 0:00,4.999530612,5
4/1/2017 0:05,5.041571429,5
4/1/2017 0:10,5.041663265,5
4/1/2017 0:15,5.041755102,5
4/1/2017 0:20,5.041836735,5
4/1/2017 0:25,5.041928571,5
4/1/2017 0:30,5.042020408,5
4/1/2017 0:35,5.042112245,5
4/1/2017 0:40,5.042204082,5
4/1/2017 0:45,5.042295918,5
4/1/2017 0:50,5.042377551,5
4/1/2017 0:55,5.042469388,5
4/1/2017 1:00,5.042561224,5
4/1/2017 1:05,5.042653061,5
4/1/2017 1:10,5.042469388,5
4/1/2017 1:15,5.042295918,5
4/1/2017 1:20,5.042122449,5
4/1/2017 1:25,5.04194898,5
4/1/2017 1:30,5.041765306,5
4/1/2017 1:35,5.041602041,5
4/1/2017 1:40,5.041428571,5
4/1/2017 1:45,5.041255102,5
4/1/2017 1:50,5.041071429,5
4/1/2017 1:55,5.040897959,5
4/1/2017 2:00,5.04072449,5
4/1/2017 2:05,5.04055102,5
4/1/2017 2:10,5.040163265,5
4/1/2017 2:15,5.039765306,5
4/1/2017 2:20,5.039367347,5
4/1/2017 2:25,5.038969388,5
4/1/2017 2:30,5.038581633,5
4/1/2017 2:35,5.038183673,5
4/1/2017 2:40,5.037785714,5
4/1/2017 2:45,5.037408163,5
4/1/2017 2:50,5.037010204,5
4/1/2017 2:55,5.036612245,5
4/1/2017 3:00,5.036214286,5
4/1/2017 3:05,5.035826531,5
4/1/2017 3:10,5.035877551,5
4/1/2017 3:15,5.035918367,5
4/1/2017 3:20,5.035969388,5
4/1/2017 3:25,5.036010204,5
4/1/2017 3:30,5.036061224,5
4/1/2017 3:35,5.036091837,5
4/1/2017 3:40,5.036142857,5
4/1/2017 3:45,5.036183673,5
4/1/2017 3:50,5.03622449,5
4/1/2017 3:55,5.03627551,5
4/1/2017 4:00,5.036316327,5
4/1/2017 4:05,5.036367347,5
4/1/2017 4:10,5.036020408,5
4/1/2017 4:15,5.035693878,5
4/1/2017 4:20,5.035346939,5
4/1/2017 4:25,5.035,5
4/1/2017 4:30,5.034663265,5
4/1/2017 4:35,5.034326531,5
4/1/2017 4:40,5.033979592,5
4/1/2017 4:45,5.033642857,5
4/1/2017 4:50,5.033295918,5
4/1/2017 4:55,5.032959184,5
4/1/2017 5:00,5.032622449,5
4/1/2017 5:05,5.03227551,5
4/1/2017 5:10,5.032591837,5
4/1/2017 5:15,5.032908163,5
4/1/2017 5:20,5.03322449,5
4/1/2017 5:25,5.033540816,5
4/1/2017 5:30,5.033867347,5
4/1/2017 5:35,5.034173469,5
4/1/2017 5:40,5.0345,5
4/1/2017 5:45,5.034816327,5
4/1/2017 5:50,5.035132653,5
4/1/2017 5:55,5.03544898,5
4/1/2017 6:00,5.035765306,5
4/1/2017 6:05,5.036081633,5
4/1/2017 6:10,5.035469388,5
4/1/2017 6:15,5.034867347,5
4/1/2017 6:20,5.034255102,5
4/1/2017 6:25,5.033653061,5
4/1/2017 6:30,5.033040816,5
4/1/2017 6:35,5.032428571,5
4/1/2017 6:40,5.031826531,5
4/1/2017 6:45,5.031214286,5
4/1/2017 6:50,5.030612245,5
4/1/2017 6:55,5.03,5
4/1/2017 7:00,5.029387755,5
4/1/2017 7:05,5.02877551,5
4/1/2017 7:10,5.02894898,5
4/1/2017 7:15,5.029112245,5
4/1/2017 7:20,5.029285714,5
4/1/2017 7:25,5.02944898,5
4/1/2017 7:30,5.029612245,5
4/1/2017 7:35,5.02977551,5
4/1/2017 7:40,5.02994898,5
4/1/2017 7:45,5.030112245,5
4/1/2017 7:50,5.030285714,5
4/1/2017 7:55,5.03044898,5
4/1/2017 8:00,5.030612245,5
4/1/2017 8:05,5.03077551,5
4/1/2017 8:10,5.030510204,5
4/1/2017 8:15,5.030255102,5
4/1/2017 8:19,5.029989796,5
4/1/2017 8:24,5.02972449,5
4/1/2017 8:29,5.029459184,5
4/1/2017 8:34,5.029183673,5
4/1/2017 8:39,5.028928571,5
4/1/2017 8:44,5.028663265,5
4/1/2017 8:49,5.028397959,5
4/1/2017 8:54,5.028132653,5
4/1/2017 8:59,5.027867347,5
4/1/2017 9:04,5.027602041,5
4/1/2017 9:09,5.027806122,5
4/1/2017 9:14,5.028010204,5
4/1/2017 9:19,5.028214286,5
4/1/2017 9:24,5.028418367,5
4/1/2017 9:29,5.028622449,5
4/1/2017 9:34,5.028816327,5
4/1/2017 9:39,5.029020408,5
4/1/2017 9:44,5.02922449,5
4/1/2017 9:49,5.029428571,5
4/1/2017 9:54,5.029632653,5
4/1/2017 9:59,5.029826531,5
4/1/2017 10:04,5.030030612,5
4/1/2017 10:09,5.030071429,5
4/1/2017 10:14,5.030102041,5
4/1/2017 10:19,5.030142857,5
4/1/2017 10:24,5.030183673,5
4/1/2017 10:29,5.03022449,5
4/1/2017 10:34,5.030265306,5
4/1/2017 10:39,5.030306122,5
4/1/2017 10:44,5.030336735,5
4/1/2017 10:49,5.030377551,5
4/1/2017 10:54,5.030418367,5
4/1/2017 10:59,5.030459184,5
4/1/2017 11:04,5.0305,5
4/1/2017 11:09,5.030377551,5
4/1/2017 11:14,5.030244898,5
4/1/2017 11:19,5.030122449,5
4/1/2017 11:24,5.03,5
4/1/2017 11:29,5.029877551,5
4/1/2017 11:34,5.029755102,5
4/1/2017 11:39,5.029622449,5
4/1/2017 11:44,5.0295,5
4/1/2017 11:49,5.029377551,5
4/1/2017 11:54,5.029255102,5
4/1/2017 11:59,5.029132653,5
4/1/2017 12:04,5.029010204,5
4/1/2017 12:09,5.02855102,5
4/1/2017 12:14,5.028091837,5
4/1/2017 12:19,5.027642857,5
4/1/2017 12:24,5.027183673,5
4/1/2017 12:29,5.02672449,5
4/1/2017 12:34,5.02627551,5
4/1/2017 12:39,5.025816327,5
4/1/2017 12:44,5.025367347,5
4/1/2017 12:49,5.024918367,5
4/1/2017 12:54,5.024459184,5
4/1/2017 12:59,5.024,5
4/1/2017 13:04,5.02355102,5
4/1/2017 13:09,5.023857143,5
4/1/2017 13:14,5.024173469,5
4/1/2017 13:19,5.024489796,5
4/1/2017 13:24,5.024806122,5
4/1/2017 13:29,5.025112245,5
4/1/2017 13:34,5.025428571,5
4/1/2017 13:39,5.025744898,5
4/1/2017 13:44,5.026071429,5
4/1/2017 13:49,5.026377551,5
4/1/2017 13:54,5.026693878,5
4/1/2017 13:59,5.027010204,5
4/1/2017 14:04,5.027326531,5
4/1/2017 14:09,5.027020408,5
4/1/2017 14:14,5.026704082,5
4/1/2017 14:19,5.026397959,5
4/1/2017 14:24,5.026102041,5
4/1/2017 14:29,5.025785714,5
4/1/2017 14:34,5.025479592,5
4/1/2017 14:39,5.025163265,5
4/1/2017 14:44,5.024867347,5
4/1/2017 14:49,5.024561224,5
4/1/2017 14:54,5.024244898,5
4/1/2017 14:59,5.023938776,5
4/1/2017 15:04,5.023632653,5
4/1/2017 15:09,5.023438776,5
4/1/2017 15:14,5.023244898,5
4/1/2017 15:19,5.023040816,5
4/1/2017 15:24,5.022846939,5
4/1/2017 15:29,5.022653061,5
4/1/2017 15:34,5.02244898,5
4/1/2017 15:39,5.022255102,5
4/1/2017 15:44,5.022061224,5
4/1/2017 15:49,5.021867347,5
4/1/2017 15:54,5.021673469,5
4/1/2017 15:59,5.021469388,5
4/1/2017 16:04,5.02127551,5
4/1/2017 16:09,5.021132653,5
4/1/2017 16:14,5.020989796,5
4/1/2017 16:19,5.020857143,5
4/1/2017 16:24,5.020714286,5
