# Datetime,-1cm,-5cm,-15cm,-25cm,-65cm
4/1/2017 0:00,5.34,5.340173,5.336728,5.336637,5.34
4/1/2017 0:05,5.438163,5.347131,5.339996,5.339986,5.500371
4/1/2017 0:10,5.465304,5.360527,5.340041,5.339971,5.549231
4/1/2017 0:15,5.472724,5.376502,5.34022,5.339958,5.568
4/1/2017 0:20,5.473673,5.392111,5.340655,5.339946,5.576955
4/1/2017 0:25,5.470996,5.405733,5.341488,5.33994,5.582036
4/1/2017 0:30,5.466766,5.41676,5.342855,5.339945,5.585287
4/1/2017 0:35,5.461736,5.42516,5.344854,5.339972,5.587544
4/1/2017 0:40,5.456656,5.431198,5.347531,5.340036,5.5892
4/1/2017 0:45,5.451403,5.435225,5.350877,5.34016,5.590466
4/1/2017 0:50,5.445992,5.437577,5.35483,5.340369,5.591466
4/1/2017 0:55,5.441089,5.438592,5.359288,5.340694,5.592276
4/1/2017 1:00,5.436285,5.438558,5.364123,5.341168,5.592946
4/1/2017 1:05,5.431482,5.437692,5.369195,5.341825,5.593512
4/1/2017 1:10,5.426243,5.436128,5.374334,5.342689,5.593677
4/1/2017 1:15,5.420852,5.433971,5.379408,5.343783,5.593708
4/1/2017 1:20,5.41539,5.431308,5.384303,5.34512,5.593677
4/1/2017 1:25,5.409678,5.428201,5.388922,5.346708,5.593611
4/1/2017 1:30,5.403873,5.424704,5.393193,5.348544,5.593519
4/1/2017 1:35,5.398023,5.420868,5.397058,5.350617,5.593407
4/1/2017 1:40,5.392774,5.416788,5.400478,5.352908,5.59328
4/1/2017 1:45,5.387699,5.412548,5.403429,5.355393,5.59314
4/1/2017 1:50,5.382684,5.408205,5.405896,5.358041,5.592989
4/1/2017 1:55,5.377692,5.403793,5.40788,5.360817,5.59283
4/1/2017 2:00,5.37271,5.399328,5.409385,5.363684,5.592664
4/1/2017 2:05,5.367733,5.394821,5.410426,5.366605,5.592492
4/1/2017 2:10,5.362974,5.390315,5.411018,5.369525,5.592184
4/1/2017 2:15,5.358284,5.385825,5.411188,5.372409,5.591853
4/1/2017 2:20,5.353622,5.381359,5.410968,5.375222,5.591524
4/1/2017 2:25,5.348972,5.376919,5.410391,5.377932,5.5912
4/1/2017 2:30,5.34433,5.372502,5.409487,5.380513,5.59088
4/1/2017 2:35,5.339692,5.368105,5.408287,5.382941,5.590564
4/1/2017 2:40,5.335058,5.363725,5.406823,5.385198,5.590252
4/1/2017 2:45,5.330426,5.359359,5.405121,5.387268,5.589941
4/1/2017 2:50,5.325796,5.355004,5.403208,5.389139,5.589632
4/1/2017 2:55,5.321167,5.35066,5.401107,5.390804,5.589324
4/1/2017 3:00,5.316541,5.346324,5.398841,5.392258,5.589016
4/1/2017 3:05,5.311914,5.341995,5.39643,5.393498,5.588709
4/1/2017 3:10,5.307685,5.337651,5.393864,5.394539,5.58783
4/1/2017 3:15,5.303578,5.333319,5.391154,5.395377,5.586729
4/1/2017 3:20,5.299517,5.329015,5.388311,5.396009,5.585517
4/1/2017 3:25,5.29527,5.324732,5.385342,5.396434,5.58424
4/1/2017 3:30,5.29097,5.320457,5.382258,5.396653,5.58292
4/1/2017 3:35,5.286651,5.316182,5.379066,5.396666,5.581569
4/1/2017 3:40,5.282531,5.311914,5.375775,5.396476,5.580196
4/1/2017 3:45,5.278472,5.307664,5.372392,5.396086,5.578807
4/1/2017 3:50,5.274436,5.303438,5.368926,5.3955,5.577407
4/1/2017 3:55,5.270824,5.299262,5.365383,5.394721,5.575997
4/1/2017 4:00,5.267346,5.295162,5.361771,5.393755,5.574583
4/1/2017 4:05,5.263923,5.291148,5.358097,5.392608,5.573165
4/1/2017 4:10,5.259919,5.287218,5.354403,5.391295,5.57184
4/1/2017 4:15,5.255743,5.283324,5.3507,5.389827,5.570579
4/1/2017 4:20,5.251507,5.279435,5.346995,5.388217,5.569362
4/1/2017 4:25,5.248067,5.275587,5.343296,5.386474,5.568178
4/1/2017 4:30,5.244871,5.271821,5.339608,5.38461,5.567019
4/1/2017 4:35,5.241768,5.26816,5.335936,5.382634,5.565878
4/1/2017 4:40,5.238298,5.264584,5.332287,5.380557,5.564752
4/1/2017 4:45,5.234724,5.261064,5.328662,5.378388,5.563638
4/1/2017 4:50,5.231115,5.257578,5.325067,5.376136,5.562534
4/1/2017 4:55,5.227697,5.254123,5.321504,5.37381,5.561438
4/1/2017 5:00,5.224337,5.250704,5.317976,5.371418,5.560348
4/1/2017 5:05,5.221,5.247325,5.314485,5.368968,5.559263
4/1/2017 5:10,5.217858,5.243929,5.310964,5.366423,5.557511
4/1/2017 5:15,5.214776,5.240532,5.307414,5.363784,5.5555
4/1/2017 5:20,5.211716,5.237143,5.303836,5.361054,5.553363
4/1/2017 5:25,5.209281,5.233804,5.300232,5.358236,5.551155
4/1/2017 5:30,5.207046,5.230553,5.296601,5.355331,5.548902
4/1/2017 5:35,5.204891,5.227408,5.292946,5.352344,5.546621
4/1/2017 5:40,5.202981,5.224387,5.28927,5.349276,5.544322
4/1/2017 5:45,5.20116,5.221496,5.285576,5.34613,5.542013
4/1/2017 5:50,5.19938,5.218732,5.281867,5.34291,5.539699
4/1/2017 5:55,5.197829,5.216099,5.278151,5.339618,5.537384
4/1/2017 6:00,5.196358,5.213598,5.274432,5.336256,5.535071
4/1/2017 6:05,5.194924,5.211222,5.27072,5.332829,5.532763
4/1/2017 6:10,5.193935,5.209047,5.267113,5.329422,5.530986
4/1/2017 6:15,5.193095,5.207073,5.263618,5.326044,5.529437
4/1/2017 6:20,5.192318,5.205288,5.260239,5.322698,5.528007
4/1/2017 6:25,5.191982,5.203696,5.256979,5.319391,5.526648
4/1/2017 6:30,5.191795,5.202299,5.253843,5.316127,5.525333
4/1/2017 6:35,5.191671,5.201085,5.250831,5.312911,5.524045
4/1/2017 6:40,5.191579,5.200037,5.247946,5.309748,5.522773
4/1/2017 6:45,5.191509,5.199134,5.24519,5.306641,5.521507
4/1/2017 6:50,5.191452,5.198354,5.242562,5.303595,5.520242
4/1/2017 6:55,5.191607,5.19769,5.240063,5.300611,5.518974
4/1/2017 7:00,5.191835,5.197137,5.237692,5.297695,5.517696
4/1/2017 7:05,5.192092,5.196686,5.235447,5.294848,5.516408
4/1/2017 7:10,5.192768,5.19633,5.233265,5.292,5.514659
4/1/2017 7:15,5.193582,5.196084,5.23115,5.289153,5.512713
4/1/2017 7:20,5.194456,5.195956,5.229104,5.28631,5.510663
4/1/2017 7:25,5.196165,5.195984,5.22713,5.283476,5.508545
4/1/2017 7:30,5.198153,5.196205,5.225231,5.280652,5.506378
4/1/2017 7:35,5.200257,5.196634,5.223409,5.277843,5.504174
4/1/2017 7:40,5.203228,5.197311,5.221669,5.275051,5.50194
4/1/2017 7:45,5.206495,5.198267,5.220014,5.272281,5.499681
4/1/2017 7:50,5.20989,5.199508,5.21845,5.269536,5.4974
4/1/2017 7:55,5.214163,5.201066,5.216982,5.266819,5.495099
4/1/2017 8:00,5.218738,5.202965,5.215619,5.264134,5.492781
4/1/2017 8:05,5.223447,5.205203,5.214367,5.261485,5.490448
4/1/2017 8:10,5.22781,5.207713,5.213255,5.258913,5.488322
4/1/2017 8:15,5.232083,5.210441,5.212288,5.256418,5.48627
4/1/2017 8:19,5.236333,5.213341,5.21147,5.254003,5.484247
4/1/2017 8:24,5.240177,5.216357,5.210806,5.251671,5.482234
4/1/2017 8:29,5.243892,5.219443,5.210299,5.249422,5.480222
4/1/2017 8:34,5.247562,5.22257,5.209951,5.247258,5.478207
4/1/2017 8:39,5.252417,5.225784,5.209763,5.245181,5.476184
4/1/2017 8:44,5.257646,5.22914,5.209735,5.243194,5.474152
4/1/2017 8:49,5.26302,5.232665,5.209864,5.241297,5.472109
4/1/2017 8:54,5.269666,5.236428,5.210147,5.239493,5.470053
4/1/2017 8:59,5.276736,5.240479,5.210582,5.237782,5.467985
4/1/2017 9:04,5.283982,5.244835,5.211166,5.236167,5.465903
4/1/2017 9:09,5.291547,5.24956,5.211902,5.234621,5.46364
4/1/2017 9:14,5.299248,5.254643,5.212795,5.233148,5.461296
4/1/2017 9:19,5.307025,5.260063,5.213853,5.231754,5.458903
4/1/2017 9:24,5.315051,5.2658,5.215082,5.230444,5.456475
4/1/2017 9:29,5.323177,5.271835,5.216491,5.229223,5.454019
4/1/2017 9:34,5.331357,5.278143,5.21809,5.228096,5.451541
4/1/2017 9:39,5.339572,5.284701,5.219887,5.22707,5.449041
4/1/2017 9:44,5.347812,5.291482,5.221893,5.226148,5.446523
4/1/2017 9:49,5.356072,5.298463,5.224117,5.225339,5.443988
4/1/2017 9:54,5.363946,5.305602,5.226566,5.224647,5.441437
4/1/2017 9:59,5.371703,5.312856,5.229248,5.224078,5.438871
4/1/2017 10:04,5.37942,5.320196,5.23217,5.22364,5.43629
4/1/2017 10:09,5.388122,5.327624,5.235321,5.223342,5.433798
4/1/2017 10:14,5.397132,5.335185,5.238701,5.223188,5.43133
4/1/2017 10:19,5.406263,5.342904,5.242309,5.223184,5.428866
4/1/2017 10:24,5.415048,5.350766,5.246142,5.223334,5.426399
4/1/2017 10:29,5.423738,5.358742,5.250197,5.223642,5.423926
4/1/2017 10:34,5.4324,5.366807,5.254469,5.224114,5.421447
4/1/2017 10:39,5.441255,5.374954,5.258956,5.224754,5.418959
4/1/2017 10:44,5.450172,5.383183,5.263651,5.225566,5.416462
4/1/2017 10:49,5.459116,5.39149,5.268551,5.226554,5.413957
4/1/2017 10:54,5.467668,5.39985,5.273651,5.227721,5.411442
4/1/2017 10:59,5.476101,5.408234,5.278944,5.229072,5.408919
4/1/2017 11:04,5.484489,5.416624,5.284427,5.230608,5.406388
4/1/2017 11:09,5.492641,5.424958,5.290066,5.232326,5.404144
4/1/2017 11:14,5.500713,5.433226,5.295851,5.234224,5.401992
